Id,Doctor_Id,Hospital_Affiliations
882,499,Lahey Clinic
883,499,Lahey Clinic
884,500,Cambridge Public Hlth Commission (The)
885,501,Hallmark Health -Lawrence Memorial Hospital
886,501,Winchester Hospital
887,502,Mercy Medical Center
888,502,Baystate Medical Center
889,502,Other
890,503,Cambridge Health Alliance
891,504,Boston Medical Center
892,505,Massachusetts General Hospital
893,505,Brigham & Women's Hospital
894,506,Massachusetts Eye & Ear Infirmary
895,507,Out of State Hospital
896,508,Lahey Clinic
897,509,Out of State Hospital
898,510,Cambridge Health Alliance - Somerville Campus
899,510,Cambridge Health Alliance
900,511,Massachusetts General Hospital
901,511,Cambridge Public Hlth Commission (The)
902,512,Emerson Hospital
903,513,Hallmark Health -Lawrence Memorial Hospital
904,513,Winchester Hospital
905,514,Lahey Clinic
906,515,Lahey Clinic
907,515,Lahey Clinic
908,516,Cambridge Health Alliance
909,516,Massachusetts General Hospital
910,517,U Mass Health System
911,517,Marlborough Hosp
912,517,UMass Memorial Medical Center
913,517,St Vincent Hospital at Worcester Medical Center
914,518,Cambridge Health Alliance - Cambridge Campus
915,519,Partners HealthCare
916,520,Lahey Clinic (HMO)
917,520,Lahey Clinic
918,521,Steward Carney Hospital
919,521,South Shore Hospital
920,521,New England Eye Surgical Center
921,521,Beth Israel Deaconess Hospital - Milton
922,522,Cooley Dickinson Hospital (The)
923,523,Private Office
924,524,Harvard University Health Services
925,525,Children's Hospital Boston
926,525,Lahey Clinic
927,525,North Shore Medical Center - Salem Hospital
928,525,North Shore Medical Center-Union Hosp
929,526,Lahey Clinic
930,527,MIT Health Services
931,528,Cooley Dickinson Hospital (The)
932,529,Other
933,530,South Shore Hospital
934,531,Lahey Clinic
935,531,Davila Dialysis Center
936,532,Mount Auburn Hospital
937,533,Mount Auburn Hospital
938,534,Lahey Clinic
939,535,Cambridge Health Alliance
940,536,Cambridge Health Alliance - Somerville Campus
941,536,Cambridge Health Alliance - Cambridge Campus
942,536,Cambridge Health Alliance
943,537,Baystate Medical Center
944,537,Noble Hospital
945,537,Baystate Franklin Medical Center
946,537,Cooley Dickinson Hospital (The)
947,538,Private Practice
948,538,Private Practice
949,539,Lahey Clinic
950,540,Baystate Medical Center
951,540,Baystate Medical Center
952,541,Mount Auburn Hospital
953,542,Mount Auburn Hospital
954,542,Mount Auburn Hospital
955,543,South Shore Hospital
956,544,Cambridge Health Alliance - Cambridge Campus
957,545,Harvard Vanguard Medical Associates
958,546,Cambridge Public Hlth Commission (The)
959,547,Lahey Clinic
960,547,Winchester Hospital
961,548,Mount Auburn Hospital
962,549,Mount Auburn Hospital
963,549,Cambridge Health Alliance - Cambridge Campus
964,550,Private Office
965,551,Beth Israel Deaconess Medical Center
966,552,Children's Hospital Boston
967,552,Harvard University Health Services
968,552,M.I.T. Medical Department
969,552,Brigham & Women's Hospital
970,553,Massachusetts General Hospital
971,553,Cambridge Health Alliance
972,554,Beverly Hospital
973,554,Winchester Hospital
974,554,Lahey Clinic
975,554,Mount Auburn Hospital
976,555,Mount Auburn Hospital
977,555,Massachusetts General Hospital
978,555,M.I.T. Medical Department
979,556,U Mass Health System
980,556,Marlborough Hosp
981,556,Columbia/MetroWest Medical Center
982,557,Lahey Clinic
983,558,Cambridge Health Alliance
984,559,Emerson Hospital
985,560,Harvard Vanguard Medical Associates
986,561,Mount Auburn Hospital
987,561,Harvard Vanguard- Somerville
988,561,Beth Israel Deaconess Medical Center
989,561,Harvard Vanguard Medical Associates
990,561,Beth Israel Deaconess Hospital - Milton
991,562,Mount Auburn Hospital
992,562,Private Office
993,563,Children's Hospital Boston
994,563,Harvard Vanguard Medical Associates
995,564,Sturdy Memorial Hospital
996,564,Inc.
997,565,Cooley Dickinson Hospital (The)
998,566,Beth Israel Deaconess Medical Center
999,566,Cambridge Health Alliance - Cambridge Campus
1000,567,Mount Auburn Hospital
1001,568,Bridgewater State Hospital
1002,569,Cambridge Health Alliance - Cambridge Campus
1003,570,Massachusetts General Hospital
1004,570,Private Office
1005,571,Cooley Dickinson Hospital (The)
1006,572,Massachusetts General Hospital
1007,572,Cambridge Public Hlth Commission (The)
1008,572,Spaulding Rehabilitation Hospital
1009,573,Mount Auburn Hospital
1010,573,Joseph M Smith Community Health Center
1011,574,Lahey Clinic
1012,575,Other
1013,575,Quest Diagnostics
1014,575,Inc.
1015,576,Harvard University Health Services
1016,577,Lahey Clinic
1017,578,Lahey Clinic
1018,579,Cooley Dickinson Health (Hospital)
1019,580,Steward Carney Hospital
1020,580,St. Elizabeth's Medical Ctr of Boston
1021,581,Lahey Clinic
1022,582,Mount Auburn Hospital
1023,582,Harvard Vanguard Medical Associates
1024,583,Lahey Clinic
1025,583,Lahey Clinic
1026,584,Winchester Hospital
1027,584,New England Pediatric Care
1028,584,Other
1029,585,Mental Health Clinic
1030,585,North River Counseling
1031,585,Inc.
1032,585,Bayview Associates
1033,586,Quincy Hospital
1034,586,Tufts - New England Medical Center Hospitals
1035,587,Brockton Hospital
1036,587,Quincy Hospital
1037,588,Mount Auburn Hospital
1038,589,Baystate Medical Center
1039,590,Cambridge Health Alliance
1040,591,Mount Auburn Hospital
1041,592,Harvard Vanguard Medical Associates
1042,593,Cambridge Health Alliance - Cambridge Campus
1043,594,Lahey Clinic
1044,594,Children's Hospital Boston
1045,594,North Shore Medical Center - Salem Hospital
1046,594,Union Hospital
1047,595,Children's Hospital Boston
1048,596,Mount Auburn Hospital
1049,597,Faulkner Hospital
1050,597,Faulkner Hospital
1051,597,Brigham & Women's Hospital
1052,597,Beth Israel Deaconess Medical Center
1053,597,Blue Cross/Blue Shield of Mass
1054,597,Offfice/private practice
1055,598,Cambridge Health Alliance - Somerville Campus
1056,598,Cambridge Health Alliance - Cambridge Campus
1057,598,Massachusetts General Hospital
1058,598,Cambridge Health Alliance
1059,599,Lahey Clinic
1060,600,Cooley Dickinson Hospital (The)
1061,600,Baystate Franklin Medical Center
1062,601,Lahey Clinic
1063,601,Lahey Clinic
1064,602,Lahey Clinic
1065,602,Lahey Clinic
1066,603,Lahey Clinic
1067,604,MIT Health Services
1068,605,Massachusetts Eye & Ear Infirmary
1069,606,Cambridge Health Alliance - Somerville Campus
1070,606,Cambridge Health Alliance - Whidden Campus
1071,606,Cambridge Health Alliance - Cambridge Campus
1072,607,Mental Health Clinic
1073,608,Cambridge Public Hlth Commission (The)
1074,609,Lahey Clinic
1075,610,Lahey Clinic
1076,611,Winchester Hospital
1077,612,Cooley Dickinson Hospital (The)
1078,613,Cooley Dickinson Hospital (The)
1079,613,Berkshire Medical Center
1080,613,Baystate Franklin Medical Center
1081,614,Winchester Hospital
1082,615,South Shore Hospital
1083,616,Cooley Dickinson Hospital (The)
1084,617,Boston Medical Center
1085,618,Lahey Clinic
1086,619,U Mass Health System
1087,619,Marlborough Hosp
1088,619,Milford-Whitinsville Regional Hospital
1089,619,MetroWest Medical Center
1090,619,Other
1091,619,Fresenius Medical Care
1092,620,Private Office
1093,620,Cambridge Health Alliance - Cambridge Campus
1094,621,Mount Auburn Hospital
1095,621,Newton-Wellesley Hospital
1096,621,Lemuel Shattuck Hospital
1097,621,Cambridge Health Alliance
1098,621,Solomon Carter Fuller Mental Health Center
1099,622,Lahey Clinic
1100,623,Massachusetts Eye & Ear Infirmary
1101,623,Tufts - New England Medical Center Hospitals
1102,624,Lahey Clinic
1103,625,Mental Health Clinic
1104,626,Massachusetts General Hospital
1105,626,Other
1106,627,Lahey Clinic
1107,628,Baystate Medical Center
1108,628,Other
1109,628,Holyoke Rehab Center
1110,629,Vinfen Corporation
1111,630,Lahey Clinic
1112,631,Lahey Clinic
1113,632,Children's Hospital Boston
1114,633,Mount Auburn Hospital
1115,634,Lahey Clinic
1116,634,Lahey Clinic
1117,635,South Shore Hospital
1118,636,Boston Psychoanalytic Society & Inst
1119,637,Lahey Clinic
1120,638,Office-Solo Practice
1121,639,Lahey Clinic
1122,640,Lahey Clinic
1123,641,Lahey Clinic
1124,642,Emerson Hospital
1125,642,Mount Auburn Hospital
1126,643,Emerson Hospital
1127,644,Holy Family Hospital & Medical Center
1128,644,Out of State Hospital
1129,645,Cooley Dickinson Hospital (The)
1130,646,Cambridge Public Hlth Commission (The)
1131,647,Cambridge Health Alliance
1132,647,Walden Behavioral Care
1133,647,LLC
1134,648,Cambridge Health Alliance - Somerville Campus
1135,649,Lahey Clinic
1136,649,Beverly Hospital
1137,649,Brockton Hospital
1138,649,Steward Medical Group
1139,650,Baystate Medical Center
1140,650,Holyoke Pediatric Assoc.
1141,650,Cooley Dickinson Hospital (The)
1142,651,Children's Hospital Boston
1143,651,Harvard University Health Services
1144,651,M.I.T. Medical Department
1145,651,Brigham & Women's Hospital
1146,652,Lowell Community Health Center
1147,652,Lowell General Hospital
1148,652,Cambridge Health Alliance - Cambridge Campus
1149,653,Emerson Hospital
1150,654,Cooley Dickinson Hospital (The)
1151,655,Cambridge Public Hlth Commission (The)
1152,655,Dept. Of Youth Services
1153,656,Mount Auburn Hospital
1154,656,Harvard University Health Services
1155,657,Mount Auburn Hospital
1156,657,Mount Auburn Hospital
1157,657,Harvard Vanguard- Kenmore Square
1158,657,Beth Israel Deaconess Medical Center
1159,658,Massachusetts Eye & Ear Infirmary
1160,658,Harvard University Health Services
1161,659,Massachusetts General Hospital
1162,659,Harvard Medical School
1163,659,Harvard University Medical School
1164,659,Massachusetts General Hospital
1165,660,Lahey Clinic
1166,661,Blue Cross/Blue Shield of Mass
1167,662,Beth Israel Deaconess Medical Center
1168,662,Harvard Vanguard Medical Associates
1169,662,Harvard Vanguard- Somerville
1170,662,Beth Israel Deaconess Hospital - Milton
1171,663,Massachusetts General Hospital
1172,664,Lahey Clinic
1173,664,Lahey Clinic
1174,665,Cambridge Health Alliance
1175,666,Lahey Clinic
1176,667,Massachusetts General Hospital
1177,668,Lahey Clinic
1178,669,South Shore Hospital
1179,670,Lahey Clinic
1180,671,Mount Auburn Hospital
1181,671,Cambridge Health Alliance - Cambridge Campus
1182,671,Davita Northeast Cambridge Dialysis
1183,672,South Shore Hospital
1184,673,Lahey Clinic
1185,674,Other
1186,674,Private Office
1187,675,Cambridge Health Alliance
1188,676,South Shore Hospital
1189,677,Cambridge Health Alliance
1190,677,Cambridge Health Alliance
1191,678,Lahey Clinic
1192,679,Emerson Hospital
1193,680,Mental Health Clinic
1194,680,Mental Health Clinic
1195,681,M.I.T. Medical Department
1196,681,Private Office
1197,682,Mount Auburn Hospital
1198,682,Private Practice
1199,683,Lahey Clinic
1200,684,Massachusetts Eye & Ear Infirmary
1201,684,Surgisite  Boston
1202,685,Cooley Dickinson Hospital (The)
1203,685,Baystate Medical Center
1204,686,Mount Auburn Hospital
1205,687,Lahey Clinic
1206,687,Lahey Clinic
1207,688,Cooley Dickinson Hospital (The)
1208,689,Beth Israel Deaconess Hospital
1209,689,Mount Auburn Hospital
1210,689,Children's Hospital Boston
1211,689,Massachusetts General Hospital
1212,689,Other
1213,690,Lahey Hospital & Medical Center
1214,690,Part of Beth Israel Lahey Health
1215,691,Children's Hospital Boston
1216,691,Mount Auburn Hospital
1217,691,Beth Israel Deaconess Medical Center
1218,692,Massachusetts General Hospital
1219,693,Mount Auburn Hospital
1220,693,Morton Hospital & Medical Center
1221,693,Cambridge Health Alliance - Cambridge Campus
1222,693,Brockton Hospital
1223,693,Good Samaritan Medical Center
1224,693,Davita Northeast Cambridge Dialysis
1225,693,New England Sinai Hospital
1226,693,Spaulding Rehabilitation Hospital
1227,694,Mount Auburn Hospital
1228,694,Harvard Vanguard Medical Assoc.- Burlington
1229,695,Other
1230,696,Cooley Dickinson Hospital (The)
1231,697,U Mass Health System
1232,697,Marlborough Hosp
1233,697,Columbia/MetroWest Medical Center
1234,697,UMass Memorial Medical Center
1235,698,Lahey Clinic
1236,698,Beth Israel Deaconess Medical Center
1237,699,Lahey Clinic
1238,700,Private Office
1239,701,Marlborough Hospital
1240,701,VA West Roxbury
1241,701,VA Hospital - Jamaica Plain
1242,702,Mount Auburn Hospital
1243,702,Massachusetts General Hospital
1244,702,Other
1245,702,Cambridge Public Hlth Commission (The)
1246,703,Children's Hospital Boston
1247,703,Tufts - New England Medical Center Hospitals
1248,703,Other
1249,703,Beth Israel Deaconess Medical Center
1250,704,Clinton Hospital
1251,705,Newton-Wellesley Hospital
1252,705,Cambridge Health Alliance
1253,706,Faulkner Hospital
1254,706,Cambridge Health Alliance - Cambridge Campus
1255,706,Tufts - New England Medical Center Hospitals
1256,707,Lahey Clinic
1257,708,Cambridge Health Alliance
1258,708,Cambridge Health Alliance
1259,709,South Shore Hospital
1260,709,Physician's Office
1261,710,Winchester Hospital
1262,710,Burlington OB-GYN Assoc.
1263,710,Inc.
1264,711,Lahey Clinic
1265,711,Lahey Clinic
1266,712,Biogen Idec
1267,713,Marlborough Hospital
1268,714,Brigham & Women's Hospital
1269,715,Cambridge Health Alliance - Cambridge Campus
1270,715,Cambridge Health Alliance
1271,715,Women's Health Center
1272,715,Revere Broadway Health Center
1273,716,Lahey Clinic
1274,716,Harvard Vanguard Medical Assoc.- Burlington
1275,717,Lahey Clinic
1276,718,Lahey Clinic
1277,719,Mount Auburn Hospital
1278,720,Winchester Hospital
1279,720,Harvard Vanguard- Somerville
1280,720,Harvard Vanguard Medical Assoc.- Burlington
1281,720,Harvard Vanguard Medical Associates-Chelmsford
1282,721,Harvard University Health Services
1283,721,Telemedicine
1284,722,Lahey Clinic
1285,722,Lahey Clinic
1286,723,South Shore Hospital
1287,724,Lahey Clinic
1288,725,Lahey Clinic
1289,726,Cambridge Health Alliance - Whidden Campus
1290,726,Cambridge Health Alliance - Cambridge Campus
1291,726,Emerson Hospital
1292,727,Cooley Dickinson Hospital (The)
1293,728,Mount Auburn Hospital
1294,728,Massachusetts General Hospital
1295,728,Clinic
1296,728,Other
1297,728,Cambridge Public Hlth Commission (The)
1298,729,Mount Auburn Hospital
1299,729,Beth Israel Deaconess Medical Center
1300,730,Out of State Hospital
1301,731,UMass Health System/Clinton Hospital
1302,731,UMass Memorial Medical Center
1303,732,Cambridge Public Hlth Commission (The)
1304,732,Cambridge Health Alliance - Cambridge Campus
1305,733,U Mass Health System
1306,733,Marlborough Hosp
1307,734,Lahey Clinic
1308,735,Lahey Clinic
1309,736,Lahey Clinic
1310,737,Mount Auburn Hospital
1311,737,Opthalmic Consultants of Boston
1312,738,Lahey Clinic
1313,739,Lahey Clinic
1314,739,Beverly Hospital
1315,740,Beth Israel Deaconess Medical Center
1316,741,Cambridge Health Alliance - Cambridge Campus
1317,742,Cambridge Health Alliance - Cambridge Campus
1318,743,Other
1319,744,Cooley Dickinson Hospital (The)
1320,745,Baystate Medical Center
1321,746,Children's Hospital Boston
1322,746,Harvard University Health Services
1323,746,Brigham & Women's Hospital
1324,747,Lahey Clinic
1325,748,Salem Hospital
1326,748,Massachusetts General Hospital
1327,749,Lahey Clinic
1328,750,Qvest Diagnostics
1329,750,Qvest Diagnostics
1330,751,Lahey Clinic
1331,752,Cambridge Health Alliance
1332,753,Massachusetts General Hospital
1333,754,Lahey Clinic
1334,755,Lahey Clinic
1335,756,South Shore Hospital
1336,757,Cambridge Health Alliance
1337,757,Cambridge Health Alliance
1338,757,Private Practice
1339,758,M.I.T. Medical Department
1340,759,Cambridge Health Alliance - Cambridge Campus
1341,760,Harvard Vanguard Medical Associates
1342,760,Children's Hospital Boston
1343,761,Lahey Clinic
1344,762,Massachusetts General Hospital
1345,763,Harvard University Health Services
1346,764,Tufts Medical Center
1347,764,Self Employed
1348,765,Mount Auburn Hospital
1349,766,Tufts Medical Center
1350,767,Lahey Clinic
1351,768,Mount Auburn Hospital
1352,769,Lahey Clinic
1353,770,St. Elizabeth's Medical Ctr of Boston
1354,770,Lemuel Shattuck Hospital
1355,770,Steward Carney Hospital
1356,770,Mount Auburn Hospital
1357,771,Lahey Clinic
1358,772,Cooley Dickinson Hospital (The)
1359,773,Mount Auburn Hospital
1360,774,Cambridge Health Alliance
1361,775,Beth Israel Deaconess Medical Center
1362,775,South Cove Community Health Center
1363,775,Beth Israel Deaconess Medical Center
1364,776,Emerson Hospital
1365,777,Spaulding Rehabilitation Hospital
1366,777,Spaulding Rehabilitation Hospital
1367,778,Mount Auburn Hospital
1368,779,Mount Auburn Hospital
1369,779,Private Office
1370,780,MIT Health Services
1371,781,Beth Israel Deaconess Medical Center
1372,781,Cambridge Health Alliance - Whidden Campus
1373,781,Cambridge Health Alliance - Cambridge Campus
1374,782,HVMA
1375,783,Cooley Dickinson Hospital (The)
1376,784,Children's Hospital Boston
1377,784,Children's Hospital Boston
1378,785,Private Office
1379,786,Lahey Clinic
1380,786,Lahey Clinic
1381,787,Massachusetts General Hospital
1382,787,Tewksbury Hospital
1383,788,Out of State Hospital
1384,789,Cambridge Health Alliance - Somerville Campus
1385,789,Cambridge Health Alliance - Whidden Campus
1386,789,Cambridge Health Alliance - Cambridge Campus
1387,790,South Shore Hospital
1388,791,Mount Auburn Hospital
1389,792,Clinic
1390,792,South Cove Community Health Center
1391,793,Mary Pat Roy
1392,793,MD
1393,793,LLC
1394,794,Cambridge Health Alliance
1395,794,Edinburg Center- Lexington
1396,794,Private Office
1397,795,Mount Auburn Hospital
1398,796,Lahey Clinic
1399,797,Mount Auburn Hospital
1400,797,Beth Israel Deaconess Medical Center
1401,798,Cambridge Health Alliance - Cambridge Campus
1402,799,Massachusetts Eye & Ear Infirmary
1403,799,Massachusetts General Hospital
1404,800,Other
1405,801,Out of State Hospital
1406,802,Cambridge Health Alliance - Cambridge Campus
1407,803,Burlington OB-GYN Assoc.
1408,803,Inc.
1409,804,Children's Hospital Boston
1410,804,Winchester Hospital
1411,804,Harvard Vanguard Medical Assoc.- Burlington
1412,805,Lahey Clinic
1413,806,Cambridge Health Alliance
1414,807,Children's Hospital Boston
1415,807,Harvard Vanguard Medical Associates
1416,808,McLean Hospital
1417,808,Cambridge Health Alliance
1418,809,Baystate Medical Center
1419,810,Lahey Clinic
1420,810,Out of State Hospital
1421,811,Lahey Clinic
1422,811,Lahey Clinic
1423,812,Massachusetts General Hospital
1424,813,Cambridge Health Alliance
1425,814,Emerson Hospital
1426,815,Mount Auburn Hospital
1427,816,Massachusetts Eye & Ear Infirmary
1428,817,Harvard Vanguard Medical Assoc.- Burlington
1429,818,Massachusetts Eye & Ear Infirmary
1430,819,Harvard University Health Services
1431,820,Cambridge Health Alliance
1432,821,Cambridge Health Alliance - Whidden Campus
1433,821,Cambridge Health Alliance - Cambridge Campus
1434,821,Cambridge Health Alliance - Somerville Campus
1435,822,Lahey Clinic
1436,823,Cooley Dickinson Hospital (The)
1437,824,Emerson Hospital
1438,825,McLean Hospital
1439,826,U Mass Health System
1440,826,Marlborough Hosp
1441,826,U-Mass Memorial Medical Center
1442,827,Lahey Clinic
1443,827,Lahey Clinic
1444,827,Beverly Hospital
1445,827,Winchester Hospital
1446,828,Cooley Dickinson Hospital (The)
1447,828,Valley Medical Group
1448,829,Children's Hospital Boston
1449,829,Massachusetts General Hospital
1450,829,Brigham & Women's Hospital
1451,829,Beth Israel Deaconess Medical Center
1452,830,Harvard University Health Services
1453,830,Brigham & Women's Hospital
1454,830,Beth Israel Deaconess Medical Center
1455,831,Private Office
1456,832,Cambridge Health Alliance
1457,833,Beth Israel Deaconess Hospital-Milton
1458,833,Part of Beth Israel Lahey Health
1459,834,Mount Auburn Hospital
1460,835,Mount Auburn Hospital
1461,836,Children's Hospital Boston
1462,836,Children's Hospital Boston
1463,836,Physician's Office
1464,837,Lahey Clinic
1465,838,Harvard Pilgrim Health Care
1466,838,Private Office
1467,838,Harvard Vanguard Medical Associates
1468,838,Massachusetts Eye & Ear Infirmary
1469,838,Harvard Vanguard- Somerville
1470,838,Harvard Vanguard Medical Assoc. Kenmore
1471,839,South Shore Hospital
1472,839,Private Practice
1473,840,Lahey Clinic
1474,841,Baystate Medical Center
1475,841,Other
1476,841,University Health Services
1477,842,Mount Auburn Hospital
1478,843,Waltham Hospital
1479,843,Mount Auburn Hospital
1480,843,Newton-Wellesley Hospital
1481,844,Lahey Clinic
1482,845,Mount Auburn Hospital
1483,845,Belmont Medical Associates Inc.- Cambridge
1484,846,Mount Auburn Hospital
1485,846,Cambridge Public Hlth Commission (The)
1486,846,Cambridge Health Alliance
1487,847,Cooley Dickinson Health (Hospital)
1488,848,Lowell Community Health Center
1489,849,Cambridge Health Alliance
1490,850,Cambridge Health Alliance - Cambridge Campus
1491,850,Cambridge Health Alliance
1492,851,Milton Hospital
1493,852,MIT Health Services
1494,853,Salem Hospital
1495,853,Lahey Clinic
1496,853,Union Hospital
1497,854,Beth Israel Deaconess Medical Center
1498,854,Beth Israel Deaconess Medical Center
1499,854,Private Practice
1500,855,Marlborough Hospital
1501,855,Lawrence Memorial Hospital
1502,856,Private Practice
1503,856,North Suffolk Mental Health Boston
1504,857,McLean Hospital
1505,857,Private Office
1506,858,Lahey Clinic
1507,859,Cambridge Health Alliance - Cambridge Campus
1508,860,South Shore Hospital
1509,860,Quincy Hospital
1510,860,Massachusetts Eye & Ear Infirmary
1511,861,Lahey Clinic
1512,861,Beverly Hospital
1513,862,Lahey Clinic
1514,863,Lemuel Shattuck Hospital
1515,863,Cambridge Public Hlth Commission (The)
1516,864,Lahey Clinic
1517,864,Children's Hospital Boston
1518,865,Mount Auburn Hospital
1519,866,Cooley Dickinson Hospital (The)
1520,867,Emerson Hospital
1521,868,Mount Auburn Hospital
1522,869,Mount Auburn Hospital
1523,870,Lahey Clinic
1524,871,Cooley Dickinson Hospital (The)
1525,871,Baystate Medical Center
1526,871,Holyoke Hospital
1527,871,Noble Hospital
1528,871,Wing Memorial Hospital
1529,871,Baystate Mary Lane Hospital
1530,872,Lahey Clinic
1531,872,Lahey Clinic
1532,873,Harvard University Health Services
1533,873,Private Practice
1534,874,Mount Auburn Hospital
1535,874,Beth Israel Deaconess Medical Center
1536,875,Other
1537,875,Mount Auburn Hospital
1538,876,South Shore Hospital
1539,876,Beth Israel Deaconess Medical Center
1540,876,Newton-Wellesley Hospital
1541,876,Harvard Vanguard- Somerville
1542,876,Harvard Vanguard Medical Associates
1543,876,Beth Israel Deaconess Hospital - Milton
1544,877,Cambridge Health Alliance
1545,878,Mount Auburn Hospital
1546,879,Mount Auburn Hospital
1547,880,Massachusetts General Hospital
1548,881,Lahey Clinic
1549,882,Cambridge Health Alliance
1550,883,Lahey Clinic
1551,883,Beth Israel Deaconess Medical Center
1552,884,Clara Barton Camp
1553,885,Cambridge Health Alliance - Cambridge Campus
1554,885,North Shore Medical Center - Salem Hospital
1555,885,North Shore Medical Center-Union Hosp
1556,886,Massachusetts General Hospital
1557,887,Lahey Clinic
1558,888,Lahey Clinic
1559,889,Cambridge Health Alliance - Cambridge Campus
1560,889,Beth Israel Deaconess Medical Center
1561,890,Lahey Clinic
1562,890,Winchester Hospital
1563,891,U Mass Health System
1564,891,Marlborough Hosp
1565,891,Columbia/MetroWest Medical Center
1566,892,Brigham & Women's Hospital
1567,893,Winchester Hospital
1568,893,Children's Hospital Boston
1569,893,Harvard Vanguard Medical Assoc.
1570,894,Lahey Clinic
1571,895,Cambridge Health Alliance
1572,895,Revere Broadway Health Center
1573,895,Cambridge Health Alliance - Cambridge Campus
1574,896,Lahey Clinic
1575,897,Harvard University Health Services
1576,898,Hallmark Health -Lawrence Memorial Hospital
1577,899,Massachusetts General Hospital
1578,899,Private Practice
1579,900,Quincy Hospital
1580,900,Tufts - New England Medical Center Hospitals
1581,901,Lahey Clinic
1582,902,Cambridge Public Hlth Commission (The)
1583,903,Lahey Clinic
1584,904,Cooley Dickinson Hospital (The)
1585,905,U Mass Health System
1586,905,Marlborough Hosp
1587,905,U-Mass Memorial Medical Center
1588,906,Other
1589,907,Mount Auburn Hospital
1590,907,Children's Hospital Boston
1591,907,Beth Israel Deaconess Medical Center
1592,908,Cambridge Health Alliance
1593,909,Cooley Dickinson Hospital (The)
1594,909,Cooley Dickinson Hospital (The)
1595,909,Baystate Healthcare
1596,909,Children's Hospital Boston
1597,910,Lahey Clinic
1598,911,Cooley Dickinson Hospital (The)
1599,912,Cooley Dickinson Hospital (The)
1600,912,Children's Hospital Boston
1601,912,Cooley Dickinson Hospital (The)
1602,913,UMass Memorial Medical Center
1603,913,U Mass Health System
1604,913,Marlborough Hosp
1605,914,Lahey Clinic
1606,915,Massachusetts General Hospital
1607,916,Lahey Clinic
1608,917,Cambridge Health Alliance - Cambridge Campus
1609,918,Mount Auburn Hospital
1610,918,St. Elizabeth's Medical Ctr of Boston
1611,918,Tufts - New England Medical Center Hospitals
1612,919,Hallmark Health -Lawrence Memorial Hospital
1613,919,St. Elizabeth's Medical Ctr of Boston
1614,919,Winchester Hospital
1615,920,Private Practice
1616,921,U Mass Health System
1617,921,Marlborough Hosp
1618,921,Columbia/MetroWest Medical Center
1619,922,Lahey Clinic
1620,923,Lahey Clinic
1621,924,UMass Memorial Health Care
1622,924,UMass Memorial Medical Center
1623,925,Cambridge Health Alliance
1624,926,Charles River Hospital
1625,927,Lahey Clinic
1626,928,Nursing Home
1627,929,Children's Hospital Boston
1628,930,Novartis Institute for Biomedical Research
1629,931,MIT Health Services
1630,932,Other
1631,932,Cape Cod Eye Surgery & Laser Center
1632,933,Mount Auburn Hospital
1633,933,Mount Auburn Hospital
1634,934,Lahey Clinic
1635,935,Riverside Community Care
1636,936,Private Office
1637,937,Out of State Hospital
1638,937,Harvard Pilgrim Health Care
1639,938,Winchester Hospital
1640,938,Other
1641,938,Winchester Hospital
1642,939,Lahey Clinic
1643,940,Tewksbury Hospital
1644,940,Cambridge Public Hlth Commission (The)
1645,941,Lahey Clinic
1646,942,Lahey Clinic
1647,943,Steward Carney Hospital
1648,943,South Shore Hospital
1649,943,Brockton Hospital
1650,943,Massachusetts Eye & Ear Infirmary
1651,943,Milton Hospital
1652,943,Good Samaritan Medical Center
1653,943,New England Eye Surgical Center
1654,943,Eye Health Services
1655,943,Quincy Medical Center
1656,944,Massachusetts General Hospital
1657,945,Cooley Dickinson Hospital (The)
1658,946,Cambridge Health Alliance - Cambridge Campus
1659,947,Offfice/private practice
1660,948,Mount Auburn Hospital
1661,949,Lahey Clinic (HMO)
1662,949,Emerson Hospital
1663,950,Mount Auburn Hospital
1664,950,Brigham & Women's Hospital
1665,950,Beth Israel Deaconess Medical Center
1666,951,Lahey Clinic
1667,952,Other
1668,953,Hallmark Health -Lawrence Memorial Hospital
1669,953,St. Elizabeth's Medical Ctr of Boston
1670,953,Winchester Hospital
1671,953,Other
1672,954,Emerson Hospital
1673,954,Mount Auburn Hospital
1674,954,Harvard Vanguard Medical Associates
1675,955,Lahey Clinic
1676,956,Mount Auburn Hospital
1677,957,Faulkner Hospital
1678,957,New England Sinai Hosp & Rehab Center
1679,957,Boston Medical Center
1680,958,Out of State Hospital
1681,959,Massachusetts General Hospital
1682,959,Cambridge Health Alliance
1683,960,Mount Auburn Hospital
1684,961,Cambridge Health Alliance
1685,962,South Shore Hospital
1686,963,Lahey Clinic
1687,963,Other
1688,964,U-Mass Memorial Medical Center
1689,965,U Mass Health System
1690,965,Marlborough Hosp
1691,965,UMass Memorial Medical Center
1692,965,Columbia/MetroWest Medical Center
1693,966,Compass Medical
1694,967,Milton Hospital
1695,967,Beth Israel Deaconess Medical Center
1696,967,Harvard Vanguard Medical Associates
1697,967,Beverly Hospital
1698,967,BID Needham
1699,967,Quality Care Dialysis Ctr
1700,967,South Suburban Dialysis
1701,968,Massachusetts General Hospital
1702,968,Cambridge Health Alliance - Cambridge Campus
1703,968,Cambridge Health Alliance - Somerville Campus
1704,968,Cambridge Health Alliance - Whidden Campus
1705,968,Cambridge Health Alliance
1706,969,Lahey Clinic
1707,969,Lahey Clinic
1708,970,Mount Auburn Hospital
