Disease_Id,Disease_name,Signs_and_symptoms,Diagnosis,Treatment
208,Staphylococcal food poisoning,No symptoms found,No diagnosis found,No treatment found
209,Staphylococcal infection,No symptoms found,No diagnosis found,No treatment found
210,Strongyloidiasis,No symptoms found,No diagnosis found,No treatment found
211,Subacute sclerosing panencephalitis,No symptoms found,No diagnosis found,No treatment found
212,Bejel Syphilis and Yaws,No symptoms found,No diagnosis found,No treatment found
213,Taeniasis,No symptoms found,No diagnosis found,No treatment found
214,Tetanus (lockjaw),No symptoms found,No diagnosis found,No treatment found
215,Tick-borne encephalitis,No symptoms found,No diagnosis found,No treatment found
216,Tinea barbae (barber's itch),No symptoms found,No diagnosis found,No treatment found
217,Tinea capitis (ringworm of the scalp),No symptoms found,No diagnosis found,No treatment found
218,Tinea corporis (ringworm of the body),No symptoms found,No diagnosis found,No treatment found
219,Tinea cruris (Jock itch),No symptoms found,No diagnosis found,No treatment found
220,Tinea manum (ringworm of the hand),No symptoms found,No diagnosis found,No treatment found
221,Tinea nigra,No symptoms found,No diagnosis found,No treatment found
222,Tinea pedis (athletes foot),No symptoms found,No diagnosis found,No treatment found
223,Tinea unguium (onychomycosis),No symptoms found,No diagnosis found,No treatment found
224,Tinea versicolor (Pityriasis versicolor),No symptoms found,No diagnosis found,No treatment found
225,Toxic shock syndrome (TSS),No symptoms found,No diagnosis found,No treatment found
226,Toxocariasis (ocular larva migrans (OLM)),No symptoms found,No diagnosis found,No treatment found
227,Toxocariasis (visceral larva migrans (VLM)),No symptoms found,No diagnosis found,No treatment found
228,Toxoplasmosis,No symptoms found,No diagnosis found,No treatment found
229,Trachoma,No symptoms found,No diagnosis found,No treatment found
230,Trichinosis,No symptoms found,No diagnosis found,No treatment found
231,Trichomoniasis,No symptoms found,No diagnosis found,No treatment found
232,Trichuriasis (whipworm infection),No symptoms found,No diagnosis found,No treatment found
233,Tuberculosis,No symptoms found,No diagnosis found,No treatment found
234,Tularemia,No symptoms found,No diagnosis found,No treatment found
235,Typhoid fever,No symptoms found,No diagnosis found,No treatment found
236,Typhus fever,No symptoms found,No diagnosis found,No treatment found
237,Ureaplasma urealyticum infection,No symptoms found,No diagnosis found,No treatment found
238,Valley fever,No symptoms found,No diagnosis found,No treatment found
239,Venezuelan equine encephalitis,No symptoms found,No diagnosis found,No treatment found
240,Venezuelan hemorrhagic fever,No symptoms found,No diagnosis found,No treatment found
241,Vibrio vulnificus infection,No symptoms found,No diagnosis found,No treatment found
242,Vibrio parahaemolyticus enteritis,No symptoms found,No diagnosis found,No treatment found
243,Viral pneumonia,No symptoms found,No diagnosis found,No treatment found
244,West Nile fever,No symptoms found,No diagnosis found,No treatment found
245,White piedra (tinea blanca),No symptoms found,No diagnosis found,No treatment found
246,Yersinia pseudotuberculosis infection,No symptoms found,No diagnosis found,No treatment found
247,Yersiniosis,No symptoms found,No diagnosis found,No treatment found
248,Yellow fever,No symptoms found,No diagnosis found,No treatment found
249,Zeaspora,No symptoms found,No diagnosis found,No treatment found
250,Zika fever,No symptoms found,No diagnosis found,No treatment found
251,Zygomycosis,No symptoms found,No diagnosis found,No treatment found
