country,candy,sales
ITA,butter cookies,3996228
DEU,peanut butter pops,3128722
ITA,caramel popcorn,4268542
SAU,gummy bears,2396248
MEX,butter cookies,2320373
FRA,gummy bears,5131660
GBR,caramel popcorn,3517407
MEX,blueberry bubblegum,6532180
ARE,butter cookies,1483690
TUR,chocolate cookies,8287596
ITA,peanut butter pops,5780142
CAN,white chocolate bar,1946824
RUS,caramel popcorn,4236258
IND,butter cookies,748774
FRA,dark chocolate bar,2163251
GBR,blueberry bubblegum,833652
GBR,peanut butter pops,3558575
ITA,white chocolate bar,6230356
DEU,lollipops,6918335
CHN,caramel popcorn,244809
BRA,chocolate bar,3206095
GBR,gummy bears,4093593
ITA,caramel popcorn,9571655
IND,caramel popcorn,3763320
FRA,lollipops,8744087
GBR,butter cookies,1492882
DEU,chocolate cookies,8380734
CHN,butter cookies,7939552
MEX,white chocolate bar,8185301
TUR,dark chocolate bar,7140143
RUS,gummy bears,9521982
CAN,chocolate cookies,3229450
CHN,gummy bears,8494464
MEX,butter cookies,6354785
IND,butter cookies,2391243
BRA,white chocolate bar,1601299
BRA,butter cookies,574909
RUS,blueberry bubblegum,3432235
IND,chocolate cookies,8280128
FRA,butter cookies,5200061
CHN,lollipops,1588462
TUR,peanut butter pops,9608971
USA,chocolate bar,9500905
TUR,peanut butter pops,3127127
MEX,blueberry bubblegum,2172315
DEU,blueberry bubblegum,5944167
GBR,chocolate bar,7184071
ITA,lollipops,1495751
ARE,butter cookies,7685231
ITA,blueberry bubblegum,9537519
CHN,chocolate cookies,7648069
RUS,white chocolate bar,8698165
DEU,gummy bears,2189552
GBR,dark chocolate bar,1520253
ARE,caramel popcorn,3739205
ITA,caramel popcorn,3831128
CHN,peanut butter pops,4315862
FRA,dark chocolate bar,3035890
GBR,lollipops,1228349
BRA,peanut butter pops,261742
BRA,lollipops,4390751
IND,peanut butter pops,1922474
ARE,chocolate bar,8028549
ITA,chocolate bar,5882634
DEU,blueberry bubblegum,3524590
DEU,chocolate cookies,8580619
TUR,butter cookies,713098
CAN,blueberry bubblegum,7247898
DEU,chocolate bar,2750520
MEX,caramel popcorn,4606108
CHN,white chocolate bar,7277279
DEU,blueberry bubblegum,4080740
ARE,lollipops,3578669
SAU,peanut butter pops,6552454
CAN,butter cookies,9538692
MEX,dark chocolate bar,1558948
CHN,lollipops,9936982
USA,lollipops,9462068
GBR,dark chocolate bar,4243048
MEX,butter cookies,9560307
SAU,chocolate cookies,1273351
RUS,butter cookies,237014
USA,chocolate bar,4947321
CAN,gummy bears,2087099
CAN,butter cookies,6383722
